n04403638	telescope, scope
n04289827	sprocket
n04290259	spur, gad
n04290507	spur gear, spur wheel
n04290762	spy satellite
n04291759	square knot
n04291992	square-rigger
n04292414	squash racket, squash racquet, bat
n04295353	stabling
n04297847	stair-carpet
n04300643	stanchion
n04301760	standard transmission, stick shift
n04303095	staple
n04304215	starship, spaceship
n04305210	Statehouse
n04305471	state prison
n04306847	statue
n04307878	steakhouse, chophouse
n04308273	stealth bomber
n04308583	steam bath, steam room, vapor bath, vapour bath
n04308807	steamboat
n04309548	steamer
n04310507	steam shovel
n04310604	steam turbine
n04310721	steam whistle
n04311174	steel drum
n04312154	steelyard, lever scale, beam scale
n04314107	stem-winder
n04314632	stenograph
n04315713	step stool
n04317325	stewing pan, stewpan
n04318131	stick
n04318892	stiletto
n04320871	stirrer
n04322531	stockade
n04323519	stockinet, stockinette
n04323819	stocking
n04324515	stocks
n04325041	stock saddle, Western saddle
n04328054	stopper knot
n04328329	storage battery, accumulator
n04328703	storage ring
n04329958	storm window, storm sash
n04330109	stoup, stoop
n04330189	stoup
n04330746	stovepipe
n04330998	Stradavarius, Strad
n04331443	straightedge
n04333869	strap hinge, joint hinge
n04338963	stringer
n04339879	strip lighting
n04340019	strip mall
n04341133	strongroom
n04341414	structural member
n04344734	studio apartment, studio
n04344873	studio couch, day bed
n04346003	stump
n04346428	sty, pigsty, pigpen
n04349189	subway token
n04349913	suction cup
n04350688	sugar refinery
n04351550	suite, rooms
n04353573	sulky
n04354589	sunbonnet
n04355115	Sunday best, Sunday clothes
n04355338	sundial
n04357531	sunsuit
n04359217	supplejack
n04359335	supply chamber
n04359500	supply closet
n04359589	support
n04360501	support
n04361937	surcoat
n04363210	surface-to-air missile, SAM
n04363671	surfboat
n04366033	sushi bar
n04367371	suture, surgical seam
n04367746	swab
n04368235	swage block
n04368496	swallow-tailed coat, swallowtail, morning coat
n04368695	swamp buggy, marsh buggy
n04368840	swan's down
n04369618	sweatband
n04370456	sweatshirt
n04370600	sweatshop
n04371050	sweep hand, sweep-second
n04373795	swizzle stick
n04373894	sword, blade, brand, steel
n04375615	synchronous motor
n04375775	synchrotron
n04377057	system
n04378489	tabard
n04380916	table saw
n04381724	table-tennis racquet, table-tennis bat, pingpong paddle
n04382695	tachograph
n04383130	tack
n04383301	tack hammer
n04384593	tailgate, tailboard
n04384910	taillight, tail lamp, rear light, rear lamp
n04385079	tailor-made
n04386664	talaria
n04387261	tambour, embroidery frame, embroidery hoop
n04387531	tammy
n04387932	Tampax
n04388162	tampon
n04388473	tandoor
n04388574	tangram
n04388743	tank, storage tank
n04389718	tank destroyer
n04389999	tanker plane
n04391445	tapa, tappa
n04392764	tape drive, tape transport, transport
n04392985	tape player
n04394630	tarmacadam, tarmac, macadam
n04395106	tartan, plaid
n04396650	T-bar lift, T-bar, Alpine lift
n04396808	tea bag
n04398497	teashop, teahouse, tearoom, tea parlor, tea parlour
n04398834	tea-strainer
n04399846	tee hinge, T hinge
n04400499	telegraph, telegraphy
n04401578	telephone bell
n04403524	Teleprompter
n04403925	telescopic sight, telescope sight
n04409011	tender, supply ship
n04409279	tender
n04410565	tenpin
n04412300	tent peg
n04414101	terra cotta
n04414476	terry, terry cloth, terrycloth
n04415663	test rocket, research rocket, test instrument vehicle
n04417180	textile machine
n04417361	textile mill
n04419073	theodolite, transit
n04421083	thermoelectric thermometer, thermel, electric thermometer
n04422409	thermonuclear reactor, fusion reactor
n04422875	thermostat, thermoregulator
n04426184	third rail
n04426316	thong
n04427216	three-centered arch, basket-handle arch
n04428634	thriftshop, second-hand store
n04431025	thumbhole
n04431925	thunderer
n04433377	tie, tie beam
n04436992	time capsule
n04438507	timer
n04441662	tithe barn
n04442741	toastrack
n04443433	toboggan
n04444218	toe
n04445040	toga
n04446162	togs, threads, duds
n04448070	toilet water, eau de toilette
n04449449	toll bridge
n04454792	topgallant, topgallant sail
n04455250	topmast
n04455579	topper
n04456472	torpedo
n04457157	torpedo
n04457474	torpedo-boat destroyer
n04457910	torque wrench
n04458201	torture chamber
n04459122	touring car, phaeton, tourer
n04459909	towel rail, towel bar
n04461696	tow truck, tow car, wrecker
n04464125	track
n04464615	trackball
n04465050	tract house
n04465203	tract housing
n04467899	trailing edge
n04475309	trap door
n04475496	trave, traverse, crossbeam, crosspiece
n04475631	travel iron
n04475749	trawl, dragnet, trawl net
n04477725	treasure ship
n04478383	trefoil arch
n04479694	trestle
n04480033	trestle table
n04485884	triskelion, triskele
n04486213	trivet
n04486322	trivet
n04486934	troll
n04488427	trough
n04488742	trouser cuff
n04490091	truck, motortruck
n04491312	trumpet arch
n04491388	truncheon, nightstick, baton, billy, billystick, billy club
n04491769	trunk
n04492060	trunk lid
n04495051	tuck box
n04495555	Tudor arch, four-centered arch
n04497442	tun
n04498523	turbine
n04498873	turbogenerator
n04500060	turner, food turner
n04501837	turntable, lazy Susan
n04502059	turret clock
n04502502	tweed
n04503269	twill, twill weave
n04503593	twist bit, twist drill
n04504038	two-man tent
n04507453	undercarriage
n04514095	upholstery needle
n04514648	upper berth, upper
n04515729	upstairs
n04516354	used-car, secondhand car
n04517211	Uzi
n04518764	valise
n04520962	vaporizer, vaporiser
n04521987	varnish
n04522168	vase
n04524716	velocipede
n04524941	velour, velours
n04525821	Venn diagram, Venn's diagram
n04526800	ventilation shaft
n04529681	vertical file
n04530456	Very pistol, Verey pistol
n04532504	vestry, sacristy
n04533199	vibrator
n04533594	vicuna
n04533946	videodisk, videodisc, DVD
n04534127	video recording, video
n04534520	videotape
n04535252	villa
n04536153	viol
n04536335	viola
n04536465	viola da braccio
n04536765	viola d'amore
n04541320	voltmeter
n04541662	vomitory
n04541777	von Neumann machine
n04542095	voting machine
n04542329	voussoir
n04542858	wading pool
n04543509	wagon, coaster wagon
n04543636	wagon tire
n04544450	waist pack, belt bag
n04545984	walk-in
n04546081	walking shoe
n04546595	walk-up apartment, walk-up
n04549629	wand
n04550676	wardroom
n04552551	war room
n04553389	wash
n04554998	washhouse
n04555600	washtub
n04555700	wastepaper basket, waste-paper basket, wastebasket, waste basket, circular file
n04557308	water-base paint
n04557751	water butt
n04558199	water chute
n04559023	water-cooled reactor
n04559620	water filter
n04559994	water hazard
n04563560	water wings
n04563790	waterworks
n04565039	ways, shipway, slipway
n04566561	weapons carrier
n04567746	weather ship
n04568713	web
n04570214	Wedgwood
n04571686	weir
n04571800	welcome wagon
n04573513	wet bar
n04573937	wet fly
n04575723	wheel
n04577139	wherry
n04577293	wherry, Norfolk wherry
n04577426	whetstone
n04578112	whipcord
n04579056	whiskey bottle
n04579432	whistle
n04580493	white goods
n04581102	whitewash
n04582771	wicket, hoop
n04583212	wide-angle lens, fisheye lens
n04583967	widow's walk
n04585128	Wilton, Wilton carpet
n04585318	wimple
n04585745	winch, windlass
n04586072	windbreak, shelterbelt
n04586932	wind instrument, wind
n04591056	Windsor knot
n04591157	Windsor tie
n04591631	wine bar
n04592356	winepress
n04592596	wineskin
n04593185	wing nut, wing-nut, wing screw, butterfly nut, thumbnut
n04593376	wing tip
n04593524	wing tip
n04594742	wire cloth
n04596116	wishing cap
n04596492	witness box, witness stand
n04597066	wood
n04597309	woodcarving
n04597400	wood chisel
n04597804	woodenware
n04598416	wood vise, woodworking vise, shoulder vise
n04601938	workpiece
n04602840	works, workings
n04603872	workwear
n04604276	World Wide Web, WWW, web
n04605057	worm wheel
n04605572	wraparound
n04607640	wrist pad
n04608567	writing implement
n04608923	Xerox, xerographic copier, Xerox machine
n04611351	yardarm
n04611916	yardstick, yard measure
n04612159	yashmak, yashmac
n04612504	yawl
n04613158	yoke, coupling
n04614655	ziggurat, zikkurat, zikurat
n04615149	zip gun
n04950952	wood grain, woodgrain, woodiness
n04951071	graining, woodgraining
n04951186	marbleization, marbleisation, marbleizing, marbleising
n04951373	light, lightness
n04951875	sunniness
n04953296	glint
n04955160	polish, gloss, glossiness, burnish
n04957356	primary color for pigments, primary colour for pigments
n04959672	chromatic color, chromatic colour, spectral color, spectral colour
n04960277	black, blackness, inkiness
n04960582	coal black, ebony, jet black, pitch black, sable, soot black
n04961062	alabaster
n04961331	bone, ivory, pearl, off-white
n04961691	gray, grayness, grey, greyness
n04962062	ash grey, ash gray, silver, silver grey, silver gray
n04962240	charcoal, charcoal grey, charcoal gray, oxford grey, oxford gray
n04963111	sanguine
n04963307	Turkey red, alizarine red
n04963588	crimson, ruby, deep red
n04963740	dark red
n04964001	claret
n04964799	fuschia
n04964878	maroon
n04965179	orange, orangeness
n04965451	reddish orange
n04965661	yellow, yellowness
n04966543	gamboge, lemon, lemon yellow, maize
n04966941	pale yellow, straw, wheat
n04967191	green, greenness, viridity
n04967561	greenishness
n04967674	sea green
n04967801	sage green
n04967882	bottle green
n04968056	emerald
n04968139	olive green, olive-green
n04968749	jade green, jade
n04968895	blue, blueness
n04969242	azure, cerulean, sapphire, lazuline, sky-blue
n04969540	steel blue
n04969798	greenish blue, aqua, aquamarine, turquoise, cobalt blue, peacock blue
n04969952	purplish blue, royal blue
n04970059	purple, purpleness
n04970398	indigo
n04970470	lavender
n04970631	reddish purple, royal purple
n04970916	pink
n04971211	carnation
n04971313	rose, rosiness
n04972350	chestnut
n04972451	chocolate, coffee, deep brown, umber, burnt umber
n04972801	light brown
n04973291	beige, ecru
n04973386	reddish brown, sepia, burnt sienna, Venetian red, mahogany
n04973585	brick red
n04973669	copper, copper color
n04974340	olive
n04974859	ultramarine
n04976319	pigmentation
n04976952	complexion, skin color, skin colour
n04979002	aposematic coloration, warning coloration
n04981658	ring
n05239437	skin graft
n05242928	squamous cell
n05245192	freckle, lentigo
n05257476	bouffant
n05258051	forelock
n05260127	pageboy
n05262698	walrus mustache, walrus moustache
n05263448	soul patch, Attilio
n05282652	diastema
n05314075	canthus
n05399034	milk
n05399356	colostrum, foremilk
n05418717	vein, vena, venous blood vessel
n05427346	ganglion cell, gangliocyte
n05447757	embryonic cell, formative cell
n05449196	osteocyte
n05449959	leukocyte, leucocyte, white blood cell, white cell, white blood corpuscle, white corpuscle, WBC
n05451384	lymphocyte, lymph cell
n05453815	microphage
n05467758	astrocyte
n05469861	dendrite
n05482922	subarachnoid space
n05486510	cerebral cortex, cerebral mantle, pallium, cortex
n05716342	lemon
n06008896	coordinate axis
n06209940	landscape
n06254669	medium
n06255613	paper
n06259898	channel, transmission channel
n06262943	silver screen
n06267758	school newspaper, school paper
n06273555	call-in
n06273743	call waiting
n06273986	local call
n06274092	long distance, long-distance call, trunk call
n06274760	three-way calling
n06274921	telegraphy
n06275095	cable, cablegram, overseas telegram
n06275353	wireless
n06275471	radiotelegraph, radiotelegraphy, wireless telegraphy
n06276501	radiotelephone, radiotelephony, wireless telephone
n06277025	multiplex
n06281175	signal detection, detection
n06359467	chat room, chatroom
n06417096	breviary
n06419354	desk dictionary, collegiate dictionary
n06470073	document, written document, papers
n06591815	album, record album
n06592281	rock opera
n06592421	tribute album, benefit album
n06596179	colour supplement
n06596474	news magazine
n06613686	movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick
n06618653	spaghetti Western
n06892775	concert
n06998748	artwork, art, graphics, nontextual matter
n07005523	lobe
n07461050	three-day event
n07556970	course
n07557165	dainty, delicacy, goody, kickshaw, treat
n07561848	balanced diet
n07563642	light diet
n07564796	soft diet, pap, spoon food
n07564971	vegetarianism
n07565259	board, table
n07567139	coloring, colouring, food coloring, food colouring, food color, food colour
n07567707	meal
n07567980	kibble
n07568095	cornmeal, Indian meal
n07568389	matzo meal, matzoh meal, matzah meal
n07568625	pea flour
n07569106	flour
n07570530	corn gluten feed
n07572616	larder
n07573103	canned meat, tinned meat
n07573563	square meal
n07574176	potluck
n07575226	business lunch
n07576969	clambake
n07577772	ploughman's lunch
n07577918	coffee break, tea break
n07580359	casserole
n07581607	canape
n07581931	fruit cocktail
n07582441	relish
n07582811	bean dip
n07582892	cheese dip
n07582970	clam dip
n07584938	bouillon
n07585015	beef broth, beef stock
n07586179	mock turtle soup
n07587618	corn chowder
n07587819	Manhattan clam chowder
n07587962	New England clam chowder
n07588817	vichyssoise
n07589458	bigos
n07589543	Brunswick stew
n07589724	burgoo
n07589967	olla podrida, Spanish burgoo
n07590752	beef goulash
n07591813	matelote
n07592094	fricassee
n07592400	turkey stew
n07592656	ragout
n07593004	pot-au-feu
n07593107	slumgullion
n07593774	ready-mix
n07594737	choice morsel, tidbit, titbit
n07595180	caramel, caramelized sugar
n07595649	cane sugar
n07596160	icing sugar
n07597263	sweetmeat
n07598529	carob bar
n07598622	hardbake
n07598734	hard candy
n07599242	lemon drop
n07599649	bonbon
n07600394	butterscotch
n07600506	candied fruit, succade, crystallized fruit
n07601025	grapefruit peel
n07601175	lemon peel
n07601290	orange peel
n07601407	candied citrus peel
n07605198	dragee
n07605804	penuche, penoche, panoche, panocha
n07606191	honey crisp
n07606419	horehound
n07607361	licorice, liquorice
n07607492	Life Saver
n07607707	lozenge
n07607832	cachou
n07608339	nougat
n07608533	nut bar
n07608641	peanut bar
n07608721	popcorn ball
n07608866	praline
n07609316	sugarplum
n07609407	taffy
n07610746	blancmange
n07614103	apple dumpling
n07614348	water ice, sorbet
n07615289	sherbert, sherbet
n07615569	tutti-frutti
n07615954	ice milk
n07616590	split
n07616748	banana split
n07617932	corn pudding
n07618029	steamed pudding
n07618119	duff, plum duff
n07618587	brown Betty
n07619301	creme anglais
n07619508	fruit custard
n07620047	tapioca pudding
n07620597	Bavarian cream
n07621264	nonpareil
n07624666	apple turnover
n07624757	knish
n07624924	pirogi, piroshki, pirozhki
n07625324	timbale
n07628181	puff batter, pouf paste, pate a choux
n07641928	fish cake, fish ball
n07643474	apple jelly
n07643891	orange marmalade
n07644244	gelatin dessert
n07650903	mince
n07665438	veal parmesan, veal parmigiana
n07666176	veal cordon bleu
n07672914	margarine, margarin, oleo, oleomargarine, marge
n07678586	mincemeat
n07679034	oyster stuffing, oyster dressing
n07680168	anadama bread
n07680416	barmbrack
n07681264	tea bread
n07681926	cracker
n07682624	flatbread
n07682952	gluten bread
n07683039	graham bread
n07683360	bannock
n07683617	pita, pocket bread
n07685031	date bread
n07685118	date-nut bread
n07685218	nut bread
n07685546	skillet bread, fry bread
n07685918	black bread, pumpernickel
n07686021	Jewish rye bread, Jewish rye
n07686202	limpa
n07686299	Swedish rye bread, Swedish rye
n07686461	salt-rising bread
n07687053	wafer
n07688130	skillet corn bread
n07688265	ashcake, ash cake, corn tash
n07688412	hoecake
n07689313	spoon bread, batter bread
n07689490	cinnamon toast
n07689842	zwieback, rusk, Brussels biscuit, twice-baked bread
n07691863	soft roll
n07691954	kaiser roll
n07692517	bialy, bialystoker
n07693439	pinwheel roll
n07693590	danish, danish pastry
n07693889	onion bagel
n07694169	rolled biscuit
n07694403	baking-powder biscuit
n07695187	saltine
n07695284	soda cracker
n07695410	oyster cracker
n07695504	water biscuit
n07695652	graham cracker
n07696527	butty
n07697408	tunaburger
n07697699	Sloppy Joe
n07698782	wrap
n07708124	julienne, julienne vegetable
n07708512	crudites
n07708685	celery stick
n07709046	pulse
n07709172	potherb
n07710007	solanaceous vegetable
n07711371	jacket potato
n07712063	sweet potato
n07714287	Chinese cabbage, celery cabbage, Chinese celery
n07716203	crookneck, crookneck squash, summer crookneck
n07716750	pattypan squash
n07717858	turban squash
n07718671	gherkin
n07719330	bamboo shoot
n07719437	sprout
n07719756	alfalfa sprout
n07719980	beet green
n07720084	sugar beet
n07722763	Spanish onion
n07723968	buttercrunch
n07724078	Bibb lettuce
n07724173	Boston lettuce
n07724819	celtuce
n07726386	field pea
n07726672	black-eyed pea, cowpea
n07727140	navy bean, pea bean, white bean
n07728181	string bean
n07728284	Kentucky wonder, Kentucky wonder bean
n07728391	scarlet runner, scarlet runner bean, runner bean, English runner bean
n07728708	wax bean, yellow bean
n07729000	lima bean
n07730708	celeriac, celery root
n07731767	Belgian endive, French endive, witloof
n07732302	hominy
n07732525	pearl hominy
n07733217	dandelion green
n07733847	wild spinach
n07734417	plum tomato
n07734555	tomatillo, husk tomato, Mexican husk tomato
n07735052	salsify
n07735179	oyster plant, vegetable oyster
n07735294	scorzonera, black salsify
n07735687	radish
n07735981	white turnip
n07736087	rutabaga, swede, swedish turnip, yellow turnip
n07736256	turnip greens
n07736371	sorrel, common sorrel
n07736527	French sorrel
n07738105	freestone
n07738224	cling, clingstone
n07740115	Cox's Orange Pippin
n07740597	Empire
n07740855	Jonathan
n07740954	McIntosh
n07741138	Macoun
n07741235	Northern Spy
n07741461	Pippin
n07741804	Winesap
n07741888	Stayman Winesap
n07742012	cooking apple
n07743384	huckleberry
n07743723	wintergreen, boxberry, checkerberry, teaberry, spiceberry
n07744430	gooseberry
n07745046	boysenberry
n07745197	dewberry
n07745357	loganberry
n07745661	saskatoon, serviceberry, shadberry, juneberry
n07746749	ceriman, monstera
n07748276	satsuma
n07749870	key lime
n07750736	Jordan almond
n07751737	damson, damson plum
n07751858	greengage, greengage plum
n07752109	sloe
n07752514	dried apricot
n07752664	raisin
n07752782	seedless raisin, sultana
n07752874	seeded raisin
n07753980	granadilla
n07754155	sweet calabash
n07754279	bell apple, sweet cup, water lemon, yellow granadilla
n07756325	honeydew, honeydew melon
n07756641	net melon, netted melon, nutmeg melon
n07758260	morello
n07758582	gherkin
n07759194	Concord grape
n07759816	vinifera grape
n07760755	Thompson Seedless
n07763107	feijoa, pineapple guava
n07764315	sapodilla, sapodilla plum, sapota
n07764486	sapote, mammee, marmalade plum
n07765728	hog plum, wild plum
n07766530	mamey, mammee, mammee apple
n07768230	bartlett, bartlett pear
n07768318	seckel, seckel pear
n07773428	coconut milk, coconut water
n07774479	cola extract
n07801091	eatage, forage, pasture, pasturage, grass
n07802246	stover
n07803093	barley, barleycorn
n07803310	buckwheat
n07803408	bulgur, bulghur, bulgur wheat
n07803779	cracked wheat
n07803895	stodge
n07804543	brown rice
n07805254	mash
n07805731	petfood, pet-food, pet food
n07805966	dog food
n07806879	Caesar salad
n07807002	salmagundi
n07807317	combination salad
n07807594	potato salad
n07808022	Waldorf salad
n07808166	crab Louis
n07808268	herring salad
n07808479	chicken salad
n07808806	molded salad
n07810907	condiment
n07812046	fines herbes
n07812790	lemon oil
n07813107	salt, table salt, common salt
n07813324	celery salt
n07814007	allspice
n07814790	fennel
n07814925	ginger, gingerroot
n07815163	ginger, powdered ginger
n07816726	caraway
n07816839	chervil
n07817599	costmary
n07818133	fenugreek, fenugreek seed
n07818422	clove, garlic clove
n07818825	lovage
n07819303	mustard seed
n07819480	mustard, table mustard
n07820036	salad burnet
n07820297	rue
n07820814	savory, savoury
n07820960	summer savory, summer savoury
n07821107	winter savory, winter savoury
n07821404	sweet cicely
n07821610	tarragon, estragon
n07821919	turmeric
n07822687	chili powder
n07823280	steak sauce
n07823591	mint sauce
n07823814	curry powder
n07824502	marinade
n07825194	dill pickle
n07825399	bread and butter pickle
n07825496	pickle relish
n07825717	sweet pickle
n07825850	applesauce, apple sauce
n07826250	tomato paste
n07826340	angelica
n07826453	angelica
n07826653	anise, aniseed, anise seed
n07827896	dill, dill weed
n07828156	celery seed
n07828275	lemon extract
n07829248	cider vinegar
n07829331	wine vinegar
n07830690	hard sauce
n07831821	marchand de vin, mushroom wine sauce
n07832592	ravigote, ravigotte
n07833333	sauce Louis
n07834065	anchovy dressing
n07834160	Italian dressing
n07834618	green mayonnaise, sauce verte
n07834872	Russian dressing, Russian mayonnaise
n07835823	bordelaise
n07837002	hot-fudge sauce, fudge sauce
n07837545	cream sauce
n07837912	gravy, pan gravy
n07838233	spaghetti sauce, pasta sauce
n07838441	marinara
n07838551	mole
n07838659	hunter's sauce, sauce chausseur
n07838811	mushroom sauce
n07839478	roux
n07839730	Soubise, white onion sauce
n07839864	Lyonnaise sauce, brown onion sauce
n07840520	Worcester sauce, Worcestershire, Worcestershire sauce
n07840672	coconut milk, coconut cream
n07841037	egg white, white, albumen, ovalbumin
n07843117	French omelet
n07843220	fluffy omelet
n07843348	western omelet
n07844786	sour milk
n07845335	cows' milk
n07845702	raw milk
n07845863	homogenized milk
n07846143	powdered milk, dry milk, dried milk, milk powder
n07846471	condensed milk
n07846557	skim milk, skimmed milk
n07846688	semi-skimmed milk
n07846802	whole milk
n07847585	double creme, heavy whipping cream
n07848093	sour cream, soured cream
n07848771	clarified butter, drawn butter
n07848936	ghee
n07849506	blueberry yogurt
n07849619	raita
n07849912	curd
n07850083	curd
n07851298	cream cheese
n07851554	mascarpone
n07851641	triple cream, triple creme
n07851767	cottage cheese, pot cheese, farm cheese, farmer's cheese
n07852045	bleu, blue cheese
n07852376	gorgonzola
n07852919	cheddar, cheddar cheese, Armerican cheddar, American cheese
n07853232	Cheshire cheese
n07853345	double Gloucester
n07853560	goat cheese, chevre
n07853762	grated cheese
n07853852	hand cheese
n07854348	Parmesan
n07854614	ricotta
n07855105	Gruyere
n07855317	Velveeta
n07855812	pimento butter
n07855907	shrimp butter
n07856045	lobster butter
n07856756	cheese spread
n07858484	tahini
n07859796	sugar syrup
n07860208	treacle, golden syrup
n07860629	miraculous food, manna, manna from heaven
n07861247	pancake batter
n07861983	moo goo gai pan
n07862095	arroz con pollo
n07862461	beef Bourguignonne, boeuf Bourguignonne
n07863107	Boston baked beans
n07863229	bubble and squeak
n07864638	Tetrazzini
n07864756	chicken Kiev
n07865788	coquilles Saint-Jacques
n07866151	cottage pie
n07866571	egg foo yong, egg fu yung
n07867883	fondue, fondu
n07868045	beef fondue, boeuf fondu bourguignon
n07868684	frog legs
n07869291	ham and eggs
n07869522	corned beef hash
n07869937	kedgeree
n07870069	souvlaki, souvlakia
n07870313	seafood Newburg
n07870478	lobster Newburg, lobster a la Newburg
n07871335	macedoine
n07871588	porcupine ball, porcupines
n07872593	moussaka
n07873057	marrow, bone marrow
n07873198	pheasant under glass
n07873348	pigs in blankets
n07873679	bulgur pilaf
n07874531	poi
n07874995	oatmeal, burgoo
n07875086	loblolly
n07875693	fish loaf
n07875835	salmon loaf
n07875926	Salisbury steak
n07876281	scallopine, scallopini
n07876460	veal scallopini
n07876775	Scotch woodcock
n07877675	steak tartare, tartar steak, cannibal mound
n07878283	stuffed cabbage
n07879072	succotash
n07880325	Welsh rarebit, Welsh rabbit, rarebit
n07880880	chicken taco
n07881117	beef burrito
n07881205	quesadilla
n07881625	refried beans, frijoles refritos
n07882420	wish-wash
n07882886	mix, premix
n07883384	elixir
n07888378	shebeen
n07888909	malt
n07889193	wort
n07889990	Burton
n07890750	mead
n07890890	metheglin
n07893792	cold duck
n07896422	Dubonnet
n07896560	jug wine
n07896765	Moselle
n07896893	Muscadet
n07896994	plonk
n07897200	Rhine wine, Rhenish, hock
n07898247	Soave
n07898617	straw wine
n07898895	Tokay
n07899434	dry vermouth, French vermouth
n07899769	Vouvray
n07899976	generic, generic wine
n07900406	fortified wine
n07900616	Madeira
n07901355	Marsala
n07902937	arrack, arak
n07903543	applejack
n07904637	sloe gin
n07905386	Jamaica rum
n07905618	pulque
n07907342	poteen
n07907831	sour mash, sour mash whiskey
n07910245	kummel
n07910379	maraschino, maraschino liqueur
n07910538	pastis
n07911249	sambuca
n07913774	cobbler
n07913882	collins, Tom Collins
n07914006	cooler
n07914586	strawberry daiquiri
n07914777	spritzer
n07915491	julep, mint julep
n07915618	manhattan
n07915918	margarita
n07916183	gin and it
n07916319	vodka martini
n07916437	old fashioned
n07917272	screwdriver
n07917507	Scotch and soda
n07917618	sling
n07918028	sour
n07918193	whiskey sour, whisky sour
n07918309	stinger
n07918706	swizzle
n07918879	hot toddy, toddy
n07919165	zombie, zombi
n07919894	drip coffee
n07920663	instant coffee
n07922041	mulled cider
n07924366	apple juice
n07924560	grape juice
n07924747	grapefruit juice
n07924955	frozen orange juice, orange-juice concentrate
n07925116	pineapple juice
n07925229	lemon juice
n07925327	lime juice
n07925423	papaya juice
n07925500	tomato juice
n07925708	V-8 juice
n07926250	lemonade
n07926442	orangeade
n07926785	mate
n07926920	mulled wine
n07927070	negus
n07927836	bitter lemon
n07928163	cream soda
n07928578	phosphate
n07931280	wassail
n07931452	planter's punch
n07931612	White Russian
n07932039	eggnog
n07932762	gin rickey
n07934032	tisane
n07934530	black tea
n07934800	Darjeeling
n07935288	hyson
n07935878	branch water
n07936015	spring water
n07937069	Vichy water
n07938007	multivitamin, multivitamin pill
n07942152	people
n07951464	collection, aggregation, accumulation, assemblage
n07954211	book, rule book
n07977870	library
n08182379	crowd
n08238463	class, form, grade, course
n08242223	core, nucleus, core group
n08249459	concert band, military band
n08256735	wedding, wedding party
n08376250	chain, concatenation
n08500989	interstellar space
n08506347	semidesert
n08519299	detention basin
n08523340	trichion, crinion
n08539276	outskirts
n08540532	borough
n08555333	stockbroker belt
n08555710	crawlspace, crawl space
n08559155	domicile, legal residence
n08571275	midfield
n08571642	firebreak, fireguard
n08611339	nombril
n08611421	no-parking zone
n08613733	outdoors, out-of-doors, open air, open
n08640962	rough
n08645212	weald
n08652376	ski resort
n08659242	coal seam
n08663703	desktop
n08663860	top
n08679167	high-water mark
n08679269	low-water mark
n08685188	zodiac
n08782627	Aegean island
n08896327	sultanate
n09193551	alluvial flat, alluvial plain
n09206985	ascent, acclivity, rise, raise, climb, upgrade
n09213565	bank
n09214916	barrier reef
n09219233	berm
n09231117	caldera
n09248153	coast
n09248399	coastland
n09262690	dale
n09264803	delta
n09267854	divot
n09268007	divot
n09269341	down
n09269882	draw
n09270657	drumlin
n09279986	fireball
n09289596	glen
n09290350	gopher hole
n09295210	growler
n09295946	gulch, flume
n09300306	gully
n09309168	ice floe, floe
n09315159	ion
n09319604	isthmus
n09327077	kopje, koppie
n09335693	landfall
n09336555	lather
n09337048	leak
n09337253	ledge, shelf
n09344198	lowland
n09344324	lunar crater
n09349648	meander
n09353815	microfossil
n09375606	nullah
n09384106	pallasite
n09389867	perforation
n09391386	photosphere
n09396608	polar glacier
n09400987	pulsar
n09403427	rainbow
n09405078	rangeland
n09405787	ravine
n09410224	rift valley
n09411295	ripple mark
n09421031	saltpan
n09425344	scablands
n09429630	seif dune
n09435739	sinkhole, sink, swallow hole
n09439032	snowfield
n09439213	soapsuds, suds, lather
n09442595	spit, tongue
n09444783	star
n09445008	steep
n09452291	swale
n09452760	swell
n09454744	tar pit
n09461069	Trapezium
n09463226	tundra
n09470222	vein, mineral vein
n09472413	volcanic crater, crater
n09478210	whinstone, whin
n09481120	xenolith
n09495962	gryphon, griffin, griffon
n09537660	messiah, christ
n09606009	adventurer, venturer
n09608709	benefactor, helper
n09613118	contadino
n09613191	contestant
n09615336	discussant
n09618880	ex-president
n09621232	native
n09624559	mediator, go-between, intermediator, intermediary, intercessor
n09624899	mediatrix
n09629065	religionist
n09635973	Aryan
n09639919	Semite
n09640715	Elamite
n09643799	gook, slant-eye
n09644657	Tatar, Tartar, Mongol Tatar
n09648743	Nahuatl
n09650839	Blackfoot
n09651123	Caddo
n09651968	Cheyenne
n09654518	Delaware
n09656077	Havasupai
n09657748	Iowa, Ioway
n09660010	Malecite
n09661873	Mohican, Mahican
n09663999	Oneida
n09665367	Penobscot
n09666349	Potawatomi
n09666883	kachina
n09667358	Salish
n09668437	Shasta
n09670521	Tarahumara
n09670909	Tuscarora
n09672590	Yana
n09672725	Yavapai
n09674412	Gadaba
n09675799	Tulu
n09676021	Kashmiri
n09679170	gentile
n09679925	Catholic
n09681107	Uniat, Uniate, Uniate Christian
n09681234	Copt
n09683180	Jihadist
n09683924	Zen Buddhist
n09686401	Eurasian
n09690083	Algerian
n09690496	Andorran
n09690621	Angolan
n09691858	Bahraini, Bahreini
n09695019	Carioca
n09695514	Bruneian
n09696763	French Canadian
n09698644	Congolese
n09699020	Cypriot, Cypriote, Cyprian
n09701148	English person
n09702673	Angle
n09703708	Cantabrigian
n09706029	Finn
