n04403638	telescope
n11614250	yellow pine
n03426134	gas tank
n03980874	poncho
n01395254	ciliate
n02782093	balloon
n03410740	gag
n02831595	Bermuda shorts
n07898117	Saint Emilion
n02441942	weasel
n03548626	hull
n04609651	X-ray machine
n07769731	rambutan
n12887293	balloon flower
n01641739	green frog
n01856553	greylag
n03020416	chip
n02763901	awning
n07681691	cinnamon bread
n09718217	Japanese
n07876651	Scotch egg
n04022332	pump
n04312432	steeple
n04518343	vacuum gauge
n03474779	hacksaw
n03802007	musket
n03662887	life jacket
n11839568	four o'clock
n04397452	teacup
n02128925	jaguar
n02598878	white croaker
n07858978	honey
n03180504	destroyer
n03417345	garden
n03919430	pestle
n02472293	homo
n02803934	bass fiddle
n03578055	intercommunication system
n02106854	police dog
n02569484	hind
n03691459	loudspeaker
n02380583	mustang
n03865371	overnighter
n02939866	caliper
n02164464	beetle
n03916720	peripheral
n07577374	bite
n02509197	kinkajou
n07724269	crisphead lettuce
n03503997	headlight
n02129165	lion
n02768114	backboard
n03289985	ensemble
n07732168	sweet corn
n07933274	tea
n01632777	axolotl
n03590306	jacket
n04021798	pump
n03159640	dais
n07575510	tea
n07860331	grenadine
n00006484	cell
n07895237	Bordeaux
n09933098	cobbler
n03683995	locket
n03199901	dinghy
n07725255	lentil
n01959029	razor clam
n01603812	cedar waxwing
n04230603	ski pole
n11752578	clover
n04146050	school
n12164363	sweet melon
n04403413	telephoto lens
n02058221	albatross
n12336092	red gum
n10671613	successor
n01592540	Carolina chickadee
n03156279	cylinder
n02110958	pug
n04326547	stone wall
n03950228	pitcher
n03169063	decoder
n02817799	beating-reed instrument
n10151760	guitarist
n04309833	steam iron
n03761084	microwave
n12129738	reed canary grass
n10148035	groom
n12401684	fig
n07912211	highball
n01528396	wagtail
n07852229	Stilton
n02782681	ballot box
n03509394	heat lamp
n03423568	gas holder
n12796022	bergenia
n09842528	bass
n03487444	hand lotion
n02715513	anteroom
n03370387	fluorescent lamp
n03743016	megalith
n04402580	telephone receiver
n03382292	forecourt
n02883344	box
n02961451	carbine
n02961035	caravansary
n03381126	footwear
n11618861	larch
n03699591	machete
n03017168	chime
n03439814	glider
n03718458	manor
n10521662	reporter
n02533209	pilchard
n04552348	warplane
n03413684	gambrel
n04127521	safety razor
n12713063	kumquat
n07878145	beef Stroganoff
n03804744	nail
n10267865	little sister
n13052670	hen-of-the-woods
n04227144	sketch
n03789946	motor
n03494537	harmonium
n02090475	wolfhound
n03218198	dogsled
n04435180	tile
n03914438	pepper shaker
n04419642	theremin
n07868200	French toast
n02065407	lesser rorqual
n03748162	mercantile establishment
n07593199	smorgasbord
n03450516	gown
n03429914	gauze
n03349892	first class
n04105068	roof
n04185804	shaver
n02211444	leaf-cutting bee
n02105641	Old English sheepdog
n03865949	overshoe
n01491006	blue shark
n09873473	breadwinner
n04020912	Pullman
n07748912	sweet orange
n03127925	crate
n04282494	splint
n03329302	Ferris wheel
n02050442	red-necked grebe
n03585073	iron
n02133704	Asiatic black bear
n09946814	compere
n02123394	Persian cat
n01661091	reptile
n13136316	bean
n03223686	doorsill
n03868242	oxcart
n03201776	dinner jacket
n03303217	exhaust fan
n02363005	beaver
n02279972	monarch
n07764630	tamarind
n04563413	waterwheel
n02311060	larva
n03920288	Petri dish
n03431243	gear
n04061969	recess
n12124627	rye grass
n09308743	icecap
n07860447	maple syrup
n03996145	power saw
n02601344	mullet
n03453443	grape arbor
n12640839	Japanese apricot
n04254680	soccer ball
n07895595	Chianti
n02910145	bucket seat
n04152593	screen
n12399132	mulberry
n01667114	mud turtle
n02555863	perch
n01950731	sea slug
n03792782	mountain bike
n04171208	semaphore
n03092656	console
n02843684	birdhouse
n07714990	broccoli
n03309110	eyeliner
n04140631	sawhorse
n03836906	nylon
n07893642	champagne
n03876231	paintbrush
n03590588	jack-in-the-box
n04040247	radial
n07875436	risotto
n02807133	bathing cap
n04255899	sod house
n07894298	Medoc
n03240892	drill press
n14696793	rock
n04483307	trimaran
n02470899	anthropoid ape
n02054036	cormorant
n03787032	mortarboard
n12912670	salpiglossis
n07751451	plum
n03361550	flats
n04200000	shoe
n09811852	artilleryman
n02076779	eared seal
n01599556	loggerhead shrike
n03642444	lapel
n09855433	biographer
n03238586	dressing table
n04585980	Winchester
n01959492	giant clam
n12593994	date palm
n03165466	day nursery
n03684823	locomotive
n04015908	protractor
n02861886	body
n02321170	feather star
n02203152	midge
n02755529	attack submarine
n02974697	case
n03039015	clavier
n12074408	oncidium
n07930062	fruit punch
n02397529	peccary
n04045255	radome
n03521076	hinge
n02404573	Brahman
n03460297	grindstone
n03733925	measuring instrument
n03150511	curling iron
n03126707	crane
n07911677	cocktail
n10321340	minor leaguer
n04347754	submarine
n03676483	lipstick
n07713267	pieplant
n12560621	garden pea
n10763620	waitress
n03180384	dessert spoon
n04052658	ranch house
n03947798	pique
n03502331	head covering
n07597365	candy
n02163297	collembolan
n04212282	shuttlecock
n02016358	gallinule
n04116098	rubber band
n03589513	jack
n03996416	power shovel
n10689306	tailback
n02738535	armchair
n04122492	sable coat
n03957315	planter
n04072551	rein
n02410702	American bison
n03135532	cross
n12759273	cashew
n04535524	villa
n02298541	hawkmoth
n02973017	cartridge holder
n12164656	cantaloupe
n02590702	sea bream
n04477548	treasure chest
n02487347	macaque
n04389521	tank car
n02823428	beer bottle
n10019406	diver
n12256112	wintergreen
n10542761	runner
n10386984	outfielder
n03427202	gat
n12953206	flowering fern
n12494794	royal poinciana
n07611991	mousse
n12337617	blue gum
n02776825	balaclava
n03442597	gnomon
n12484784	water shamrock
n03825080	nightwear
n02276355	red admiral
n01812662	rock dove
n03543735	hot-water bottle
n07775050	pistachio
n02809105	batik
n04039742	racquetball
n07914995	gimlet
n03605598	jump suit
n10548537	salesman
n03003091	chalk
n07765073	date
n03100490	conveyance
n07748753	bitter orange
n07822323	cardamom
n06272612	voice mail
n01504344	nestling
n04113194	roulette
n11902200	corn poppy
n04141327	scabbard
n01982650	lobster
n02399000	ruminant
n04142731	scanner
n01662784	turtle
n03956922	plant
n03557692	ice maker
n02760099	automat
n02156871	quadruped
n04489695	trousseau
n04191595	shelter
n04285008	sports car
n07814203	cinnamon
n07887967	light beer
n02984203	cathedral
n04474187	transport ship
n10427764	physical therapist
n04345028	study
n02006656	spoonbill
n03609397	kazoo
n03605915	junction
n03394916	French horn
n03196598	digital display
n03541091	hospital room
n02106030	collie
n11918286	ageratum
n04281260	spittoon
n10092978	first lieutenant
n04350769	sugar spoon
n13144084	hazel
n01742172	boa constrictor
n03049924	cloth cap
n04592741	wing
n03938522	pillow lace
n13237188	wax plant
n02901377	brig
n12159055	summer squash
n11992806	African daisy
n03356982	flannel
n03874599	padlock
n01484850	great white shark
n04004990	printer cable
n07930315	mimosa
n01530575	brambling
n03121298	courthouse
n03709363	magnum
n01946630	nerita
n02112018	Pomeranian
n12638753	Allegheny plum
n07896287	dessert wine
n03261603	earmuff
n01990800	isopod
n10502329	rabbi
n09927451	clergyman
n03549732	hurricane deck
n02777100	balance
n03445617	golf bag
n12932966	cow parsley
n12310349	lilac
n02475669	Homo sapiens sapiens
n03275681	electrolytic
n03407865	fusee drive
n03222176	door
n02624167	mackerel
n10560637	scientist
n02927887	butterfly valve
n04337287	stretch pants
n11697560	barberry
n02584449	piranha
n04442312	toaster
n12946849	dogwood
n01392380	ameba
n03416640	garage
n03296081	escapement
n04119751	rundle
n11875938	head cabbage
n04215402	sidewalk
n07866723	egg roll
n02682922	aerosol
n03701391	machine gun
n07854184	mozzarella
n03724066	mascara
n10630188	speaker
n10308732	mender
n07906718	bourbon
n03904433	pedicab
n02431122	red deer
n04086273	revolver
n02443346	ferret
n04595028	wireless local area network
n03992509	potter's wheel
n10761190	voyager
n02319095	sea urchin
n02089555	foxhound
n02117900	spotted hyena
n07714571	head cabbage
n03708036	magnetic tape
n03661043	library
n03250089	drum brake
n12327022	water milfoil
n02940385	call center
n07591961	paella
n03571625	ink bottle
n12714755	prickly ash
n02481366	mountain gorilla
n03542333	hotel
n04049303	rain barrel
n12065316	fringed orchis
n02979836	cast
n01756291	sidewinder
n04103364	rolling stock
n03464053	G-string
n03858183	otoscope
n07826930	Chinese anise
n12794985	astilbe
n03492922	hard hat
n03383099	foresail
n07748416	tangerine
n02046939	black guillemot
n04485082	tripod
n03165096	daybed
n06276697	broadcasting
n04004210	printed circuit
n15093298	vitamin C
n03831382	noseband
n01740551	blind snake
n01318381	head
n11857696	portulaca
n04097373	roadster
n04550184	wardrobe
n03973839	pocket watch
n12460697	grape hyacinth
n04167346	seeder
n02679257	adding machine
n03681477	local area network
n04049405	raincoat
n10366966	nurse
n02844307	bit
n12836337	baby blue-eyes
n04175574	service club
n04450994	tongue
n04401088	telephone
n02282257	blue
n02474777	Homo sapiens
n02252226	aphid
n03785237	moquette
n09256479	coral reef
n10259997	lieutenant commander
n01953361	cowrie
n03343737	fire alarm
n09951274	computer user
n02437312	Arabian camel
n07894102	Beaujolais
n07697100	hamburger
n04160372	seam
n03046257	clock
n03716966	mandolin
n09902954	celebrant
n03309687	eyeshadow
n03984381	porch
n04572935	well
n03235042	drawing room
n12215579	banksia
n02138441	meerkat
n02948072	candle
n04380255	tablefork
n12675876	Japanese honeysuckle
n07744057	lingonberry
n02851099	blind
n03146219	cuirass
n04164406	second base
n03213538	distributor cap
n04317175	stethoscope
n03440216	Global Positioning System
n10123844	general
n02109525	Saint Bernard
n02377480	mare
n01797020	capercaillie
n11661372	yew
n03320046	fan
n04136333	sarong
n02893608	breadbasket
n04398951	tea table
n03244047	driver
n07869111	haggis
n06278338	cable television
n07771212	walnut
n02234355	American cockroach
n02891788	brass
n02796995	barroom
n03251533	dry dock
n02682569	aerator
n03478907	hall
n02887209	brace
n09834699	ballet dancer
n02802990	basket weave
n03516266	herringbone
n04409515	tennis ball
n09760609	companion
n02921029	bunsen burner
n03197337	digital watch
n01606672	sparrow hawk
n01891633	shrew
n07747951	mandarin
n04445952	toggle switch
n04410086	tenor drum
n02952374	canteen
n04534359	videotape
n02312006	grub
n02667093	abaya
n01955933	bivalve
n04469514	trampoline
n04044498	radiotelephone
n07850329	cheese
n02768226	backboard
n03715386	mallet
n03714235	makeup
n07899108	vermouth
n04059157	ready-to-wear
n04177820	settle
n04057981	reading lamp
n04135710	cling film
n03357716	flap
n04023962	punching bag
n03595614	jersey
n04094720	riser
n01321456	adult
n03064758	coffin
n04346511	stylus
n03855604	O ring
n03120198	court
n12268246	oak
n02977438	cash register
n12821895	garden forget-me-not
n02123159	tiger cat
n04141198	saxhorn
n09206896	arroyo
n02162561	scorpion fly
n03943266	pinnacle
n02794156	barometer
n02766534	baby buggy
n02715229	antenna
n04099429	rocket
n07801342	silage
n03196324	digital computer
n02881193	bowl
n09938449	color guard
n04193377	shift key
n07750586	almond
n12330891	bayberry
n03534580	hoopskirt
n02439398	okapi
n09859152	blacksmith
n03338821	film
n07822518	cayenne
n04381073	tablespoon
n04599124	woofer
n02202006	common mosquito
n04494204	tube
n09224725	bluff
n07876189	sauerkraut
n04367480	swab
n02988486	CD-R
n02125494	ocelot
n02671780	accessory
n04198562	shirtwaist
n04559166	water cooler
n09451237	supernova
n02036053	stilt
n02978753	casserole
n12602980	rhubarb
n04284002	spoon
n12145477	popcorn
n04463679	track
n01990007	mantis shrimp
n01576076	golden oriole
n12708654	sour orange
n01728572	thunder snake
n03481172	hammer
n11748002	legume
n01525720	oscine
n03744840	memory device
n03249569	drum
n01744100	reticulated python
n12416073	blackberry-lily
n03652932	leash
n04076284	repeating firearm
n07735803	turnip
n02811059	batting cage
n04554684	washer
n02919792	bungalow
n12578626	cowpea
n12833985	streptocarpus
n02027075	spotted sandpiper
n03912218	pennywhistle
n07730207	carrot
n12800586	miterwort
n06277280	television
n12319414	English walnut
n01573074	meadowlark
n02687992	airfield
n10043643	economist
n12418221	blue-eyed grass
n02430559	stag
n02773838	bag
n02438272	alpaca
n03176594	deodorant
n07582277	hors d'oeuvre
n03279153	electronic instrument
n03553019	hydrofoil
n01677366	common iguana
n02438173	guanaco
n02944146	camisole
n09616922	entertainer
n03423479	gas heater
n07895710	Cabernet
n10522759	rescuer
n02727426	apiary
n03482523	hand
n12646605	fuji
n03109150	corkscrew
n03832673	notebook
n03861430	outrigger canoe
n13100156	poisonous plant
n04181718	shade
n07684164	matzo
n03837698	oast house
n03423877	gas lamp
n12022054	painted daisy
n02731900	aquaplane
n02992795	cellulose tape
n01732789	black rat snake
n03441345	glove compartment
n03619396	kit
n11834654	saltwort
n04452848	tooth
n04373704	swivel chair
n02607862	wrasse
n02872752	boot
n07729485	soy
n02928049	butter knife
n08598568	mecca
n04137897	satellite television
n11705387	cassia bark
n03874138	paddle steamer
n07749312	Valencia orange
n03667235	lighting
n01620135	California condor
n01623425	screech owl
n01859852	Bewick's swan
n03543012	hot line
n02744844	arthrogram
n02759963	autoloader
n03333610	field house
n12920204	poinsettia
n12154773	pandanus
n01979874	blue crab
n12052787	coelogyne
n12421467	narcissus
n04143140	scanner
n07802863	groats
n03183080	device
n01535690	white-crowned sparrow
n02943241	camera lens
n01937909	leech
n02176439	click beetle
n07767344	olive
n04047401	railing
n04046400	raglan sleeve
n02871525	bookshop
n13193856	male fern
n02694426	alarm
n09302616	highland
n01916388	sea feather
n03718581	manor hall
n05244934	macule
n04546194	walking stick
n02853016	block
n01697611	Asian crocodile
n07591586	bouillabaisse
n02777292	balance beam
n01446760	killifish
n01595974	house martin
n03877674	pajama
n07818277	garlic
n02936714	cage
n03973628	pocketknife
n03524574	hoe
n05238282	skin
n12437513	kniphofia
n02889425	brake
n10305802	medical practitioner
n11692265	perianth
n09979321	critic
n04493381	tub
n03331077	fez
n02129837	Bengal tiger
n02670382	accelerator
n07847917	light cream
n02469248	scapular
n07934282	ice tea
n09981939	Cub Scout
n02912894	bugle
n07870167	lasagna
n07836456	Chinese brown sauce
n02490811	pygmy marmoset
n04443257	tobacco shop
n02126139	serval
n07859583	syrup
n03578656	interface
n02220804	carpenter ant
n07919310	fizz
n11834272	glasswort
n02817031	bearing
n07903101	bitters
n02869737	bongo
n03112719	corselet
n07724492	cos
n03875218	paint
n04331277	straight chair
n13005984	inky cap
n02074367	dugong
n02793199	bark
n02942349	camcorder
n04467099	trailer
n12695975	chinaberry
n07732904	watercress
n03514693	hemstitch
n03885028	pantie
n04219424	silk
n02122510	alley cat
n04079244	residence
n01877812	wallaby
n07800740	fodder
n04554871	washer
n03792334	mound
n02317781	brittle star
n06263369	press
n12333530	guava
n07892418	vintage
n02088466	bloodhound
n04078574	reservoir
n03223162	doorlock
n04059947	rearview mirror
n11949402	chamomile
n04560113	water heater
n10726031	transvestite
n03106722	cord
n07568818	roughage
n03195332	digester
n02987492	cavalry sword
n09304750	hole
n03729951	material
n12744387	litchi
n02704792	amphibian
n02763714	awl
n04164757	second hand
n12483841	Spanish dagger
n07828987	vinegar
n12957924	water clover
n04192858	shield
n03871083	package
n02538010	lake trout
n02110185	Siberian husky
n01672032	soft-shelled turtle
n11791569	pistia
n02132788	Alaskan brown bear
n07854982	Emmenthal
n07909593	Drambuie
n11939491	daisy
n12019827	stevia
n04299963	stamp
n04390577	tank top
n03402941	funeral home
n04049585	rain gauge
n11959259	hawk's-beard
n02503517	elephant
n03968293	plug
n02912065	buffet
n03656957	lens
n02382850	Exmoor
n03639077	landing net
n01557962	missel thrush
n11611758	stone pine
n12684379	jewelweed
n04099969	rocking chair
n04590129	window shade
n04371430	swimming trunks
n07920540	iced coffee
n01779629	mite
n02328150	Angora
n04487081	trolleybus
n10566072	sculptor
n02779435	ball
n04251144	snorkel
n03234164	drawers
n01484097	mako
n01753032	puff adder
n04273064	spectroscope
n07849336	yogurt
n03654576	leg
n03589791	jacket
n02029087	curlew sandpiper
n01934440	annelid
n03498962	hatchet
n01321230	male
n04187970	sheepskin coat
n01904029	plastron
n03323703	fastener
n03762332	midiron
n02418064	goat antelope
n03058107	coating
n02620167	flathead
n02594250	sciaenid fish
n04116512	rubber eraser
n07801779	alfalfa
n02480495	orangutan
n00017222	plant
n12237641	mountain laurel
n03685820	lodging house
n02328429	pika
n03002711	chaise longue
n06278475	high-definition television
n07762740	ackee
n00021939	artifact
n00120010	hop
n00141669	check-in
n00288000	dressage
n00288384	piaffe
n00324978	funambulism
n00326094	rock climbing
n00433458	contact sport
n00433661	outdoor sport
n00433802	gymnastics
n00434075	acrobatics
n00439826	track and field
n00440218	jumping
n00440382	broad jump
n00440509	high jump
n00440747	skiing
n00440941	cross-country skiing
n00442115	swimming
n00442437	bathe
n00442847	dip
n00442981	dive
n00444651	skin diving
n00445055	surfing
n00445226	water-skiing
n00445351	rowing
n00445685	sculling
n00445802	boxing
n00446311	professional boxing
n00446411	in-fighting
n00446493	fight
n00446804	spar
n00446980	archery
n00447540	wrestling
n00447957	Greco-Roman wrestling
n00448126	professional wrestling
n00448232	sumo
n00448466	skating
n00448748	figure skating
n00448958	roller skating
n00449054	skateboarding
n00449168	speed skating
n00449295	racing
n00450070	horse racing
n00450335	riding
n00451370	cycling
n00452034	bullfighting
n00452152	cockfighting
n00452293	hunt
n00453935	fishing
n00454237	angling
n00454395	fly-fishing
n00454624	casting
n00455173	surf casting
n00456465	day game
n00463246	athletic game
n00463543	ice hockey
n00464478	water polo
n00464651	outdoor game
n00464894	golf
n00466377	round of golf
n00466524	medal play
n00466630	match play
n00466712	miniature golf
n00466880	croquet
n00467320	quoits
n00467536	shuffleboard
n00467995	field hockey
n00468480	football
n00469651	American football
n00470554	professional football
n00470682	touch football
n00470830	hurling
n00470966	rugby
n00471613	baseball
n00474657	professional baseball
n00474769	hardball
n00475014	no-hit game
n00475787	softball
n00476389	cricket
n00477392	lacrosse
n00477639	polo
n00478262	soccer
n00479440	handball
n00479616	racquetball
n00479887	squash
n00480211	volleyball
n00480366	jai alai
n00480508	badminton
n00480993	basketball
n00482298	tennis
n00483313	singles
n00483409	singles
n00483508	doubles
n00483605	doubles
n00523513	sport
n00812526	clasp
n00825773	judo
n00887544	team sport
n01055165	camping
n01315213	peeper
n01315581	poikilotherm
n01323781	giant
n01332181	Marburg virus
n01339801	cytomegalovirus
n01340935	reovirus
n01365885	gonococcus
n01369358	Salmonella typhimurium
n01379389	staphylococcus
n01381044	streptococcus
n01382033	spirochete
n01384164	zooplankton
n01390763	heliozoan
n01402600	brown algae
n01415626	eukaryote
n01419888	giardia
n01421333	cryptomonad
n01439121	cyprinid
n01439808	domestic carp
n01442450	roach
n01448291	swordtail
n01459791	fetus
n01462544	gastrula
n01462803	morula
n01467804	lancelet
n01468238	tunicate
n01469723	salp
n01486010	thresher
n01515078	night bird
n01520576	kiwi
n01526766	honey eater
n01533893	crossbill
n01540566	evening grosbeak
n01541760	pyrrhuloxia
n01545574	lyrebird
n01556514	thickhead
n01568720	Cape May warbler
n01569971	yellow-breasted chat
n01574801	rusty blackbird
n01579729	chough
n01581730	nutcracker
n01589718	brown creeper
n01589893	European creeper
n01593553	verdin
n01596608	purple martin
n01615303	Kamchatkan sea eagle
n01625121	laughing owl
n01633781	giant salamander
n01638722	amphiuma
n01654637	African clawed frog
n01655344	caecilian
n01666585	alligator snapping turtle
n01674216	saurian
n01697457	African crocodile
n01698640	American alligator
n01698782	Chinese alligator
n01701859	stegosaur
n01710177	diplodocus
n01714231	allosaur
n01717467	velociraptor
n01724840	ichthyosaurus
n01744270	Indian python
n01749742	black mamba
n01758757	carcase
n01770795	false scorpion
n01771417	whip-scorpion
n01780142	acarid
n01782209	spider mite
n01787006	sea spider
n01787191	Merostomata
n01790711	game fowl
n01793340	spring chicken
n01803893	argus
n01811243	dodo
n01814549	squab
n01815036	carrier pigeon
n01821554	Carolina parakeet
n01824344	ani
n01832167	swift
n01835769	European goatsucker
n01844551	quetzal
n01851573	greater scaup
n01860497	screamer
n01875313	common opossum
n01879217	pademelon
n01880152	rat kangaroo
n01889520	mole
n01903234	squama
n01903346	scute
n01903498	sclerite
n01911839	hydrozoan
n01930112	nematode
n01936671	lugworm
n01936858	sea mouse
n01948573	limpet
n01951613	Hermissenda crassicornis
n01958038	quahog
n01958346	littleneck
n01960177	edible cockle
n01971280	squid
n01972131	architeuthis
n01977485	stone crab
n01985493	Old World crayfish
n01988701	krill
n01992773	amphipod
n01995686	brine shrimp
n01998183	barnacle
n01999186	goose barnacle
n02003037	adjutant bird
n02030996	woodcock
n02038466	Wilson's phalarope
n02039171	courser
n02044908	great skua
n02046171	little auk
n02046759	guillemot
n02061217	stormy petrel
n02063662	right whale
n02065726	humpback
n02067240	sperm whale
n02068206	beaked whale
n02070430	porpoise
n02071028	grampus
n02080713	bearded seal
n02084732	pooch
n02086346	toy spaniel
n02086646	Blenheim spaniel
n02087122	hunting dog
n02090721	Irish wolfhound
n02102177	Welsh springer spaniel
n02103181	griffon
n02109150	guide dog
n02112497	griffon
n02125010	sand cat
n02125081	European wildcat
n02129991	liger
n02136103	binturong
n02147947	pipistrelle
n02160947	social insect
n02167944	searcher
n02168427	glowworm
n02179012	blister beetle
n02181235	darkling beetle
n02183857	louse
n02184473	common louse
n02184720	body louse
n02197689	drosophila
n02197877	vinegar fly
n02200509	wiggler
n02201626	malarial mosquito
n02202287	gnat
n02205673	blackfly
n02207179	drone
n02207345	queen bee
n02207449	worker
n02214499	potter wasp
n02214773	velvet ant
n02216740	gall wasp
n02217563	chalcid fly
n02218371	ichneumon fly
n02220518	army ant
n02223266	termite
n02227247	migratory locust
n02234848	German cockroach
n02238594	lace bug
n02242137	giant water bug
n02243209	water boatman
n02248510	scale insect
n02250280	cochineal insect
n02256172	jumping plant louse
n02257715	spittle insect
n02257985	froghopper
n02259377	plant hopper
n02262803	stonefly
n02271897	thrips
n02274259	butterfly
n02286089	gypsy moth
n02305636	tiger moth
n02308735	fall webworm
n02313709	bryozoan
n02315487	brachiopod
n02315821	peanut worm
n02322047	trepang
n02324850	European rabbit
n02327842	snowshoe hare
n02333546	brown rat
n02338145	muskrat
n02350105	kangaroo rat
n02364840	aperea
n02365108	mara
n02366002	agouti
n02369680	naked mole rat
n02372952	rock hyrax
n02378625	charger
n02378755	steed
n02381831	Przewalski's horse
n02386224	hackney
n02386746	packhorse
n02390101	mule
n02390258	hinny
n02393161	black rhinoceros
n02396796	babirusa
n02403740	heifer
n02405929	Aberdeen Angus
n02406533	Brown Swiss
n02407071	Durham
n02407625	Hereford
n02408660	Indian buffalo
n02414043	broadtail
n02419056	serow
n02423218	Thomson's gazelle
n02431441	hind
n02435853	chevrotain
n02472987	world
n02475078	Neandertal man
n02484975	guenon
n02486908	mandrill
n02499808	galago
n02513355	groundfish
n02513560	young fish
n02515713	coelacanth
n02516188	lungfish
n02522399	cod
n02523877	haddock
n02530421	shad
n02533834	anchovy
n02535537	Atlantic salmon
n02536165	sockeye
n02538406	char
n02540412	smelt
n02550460	flying fish
n02551668	saury
n02574910	remora
n02577164	runner
n02587618	schoolmaster
n02600298	goatfish
n02601767	striped mullet
n02603540	great barracuda
n02604480	Bermuda chub
n02611898	stargazer
n02614978	gunnel
n02625258	wahoo
n02648625	greenling
n02650050	gurnard
n02652132	flying gurnard
n02653786	filefish
n02654112	leatherjacket
n02656032	balloonfish
n02660640	Pacific halibut
n02666196	abacus
n02669295	abutment
n02670186	accelerator
n02670683	accelerator
n02675077	acetate disk
n02675522	achromatic lens
n02680754	adjustable wrench
n02684962	agora
n02686227	air compressor
n02687682	air cushion
n02692513	air pump
n02692680	air search radar
n02693540	air-to-ground missile
n02700258	altimeter
n02701002	ambulance
n02701730	American organ
n02702989	ammeter
n02708093	analog clock
n02708224	analog computer
n02709908	AND circuit
n02710600	aneroid barometer
n02725872	anvil
n02727825	apparatus
n02734835	architrave
n02735361	arc lamp
n02735538	arctic
n02735688	area
n02740764	armor plate
n02751215	astrolabe
n02752810	atlas
n02753044	atom bomb
n02755140	attache case
n02755352	attachment
n02756098	attire
n02756854	audio amplifier
n02757927	audiovisual
n02758490	auger
n02769669	backlighting
n02771547	backstop
n02774152	bag
n02775039	baggage car
n02775689	bailey
n02778669	ball
n02782778	ballpark
n02786611	bandoleer
n02786736	bandoneon
n02787120	bandwagon
n02795528	barrel
n02795670	barrelhouse
n02800497	basement
n02803539	bass clarinet
n02806530	bath
n02808829	bathyscaphe
n02810270	batter's box
n02811618	battle cruiser
n02814338	beach house
n02814428	beach towel
n02816656	beanbag
n02823848	beer hall
n02827606	belt
n02829596	bench press
n02844214	bistro
n02854378	blockhouse
n02854739	bloomers
n02857477	boarding house
n02862048	body armor
n02866578	bomb
n02867966	bomber jacket
n02873623	boot camp
n02874086	booth
n02874214	booth
n02879087	bouquet
n02885233	box coat
n02890940	brake shoe
n02897097	Bren
n02897389	brewpub
n02904640	broadsword
n02907082	broomstick
n02917067	bullet train
n02917742	bullpen
n02921406	Burberry
n02925666	buskin
n02926426	bustier
n02930645	byway
n02932891	cabin cruiser
n02933990	cable
n02945161	camp
n02945813	camp
n02950482	cannon
n02951843	canopy
n02953552	Canton crepe
n02955247	capacitor
n02955540	caparison
n02955767	cape
n02957252	capstan
n02957755	capsule
n02965216	cargo liner
n02965529	carillon
n02971473	cartouche
n02971579	car train
n02979074	cassette deck
n02980203	caster
n02984469	catheter
n02984699	cathode
n02985137	cathode-ray tube
n02991048	cell
n02991302	cell
n02992368	cellophane
n02993546	center
n02995871	centrifugal pump
n02998841	chador
n03001115	chain store
n03002341	chairlift
n03004409	chambray
n03009794	charnel house
n03012373	cheesecloth
n03015478	chest protector
n03017070	child's room
n03019198	chinning bar
n03019806	chin strap
n03027001	chronometer
n03031012	cigarette case
n03034244	circuit breaker
n03034663	circular saw
n03036244	city university
n03045074	clipper
n03047690	clog
n03050655	clothes dryer
n03053047	clove hitch
n03056873	coaster brake
n03059366	coaxial cable
n03063199	coffee filter
n03063485	coffee mill
n03067093	cold cathode
n03072440	color tube
n03077741	communications satellite
n03080633	compass
n03082450	compress
n03082807	compressor
n03086868	concertina
n03087245	condensation pump
n03087521	condenser
n03088389	condominium
n03090710	congress boot
n03092476	console
n03097535	control circuit
n03097673	control key
n03099454	convent
n03100897	conveyer belt
n03102654	cooler
n03102859	cooling system
n03107488	cords
n03111690	correctional institution
n03114041	costume
n03116767	counter
n03121190	Courtelle
n03126385	crampon
n03128085	cravat
n03129471	creche
n03129636	creche
n03129848	creel
n03130233	crematory
n03132666	crinoline
n03133415	crock
n03134394	Crookes tube
n03137579	crosspiece
n03140771	cruise missile
n03140900	cruiser
n03141327	cruise ship
n03141702	crusher
n03145843	cuff
n03148808	cupola
n03152951	cutaway
n03154895	cutwork
n03156071	cyclotron
n03156767	cylinder lock
n03162818	dart
n03164344	data system
n03165823	dead axle
n03166120	deadhead
n03171635	defibrillator
n03173270	delft
n03174731	demitasse
n03175843	dental floss
n03175983	dental implant
n03176763	department store
n03178000	depth finder
n03180011	desktop computer
n03185868	Dewar flask
n03189083	diaphragm
n03191561	dickey
n03193107	diesel
n03196990	digital subscriber line
n03202760	diode
n03204134	dipole
n03205458	dirk
n03205669	dirndl
n03206405	discount house
n03207548	dishpan
n03209477	disk controller
n03215191	dive bomber
n03219859	dolman
n03219966	dolman
n03221351	dongle
n03222722	doorframe
n03224893	dormitory
n03225458	dosemeter
n03226254	double boiler
n03236217	dredge
n03239607	drift net
n03240140	electric drill
n03241496	drinking vessel
n03243218	drive
n03244775	driving iron
n03249956	drum
n03255030	dumbbell
n03258456	dust cover
n03260206	dye-works
n03262248	earplug
n03262519	earthenware
n03267468	ejection seat
n03268311	elbow
n03270165	electrical system
n03271030	electric chair
n03271260	electric clock
n03273740	electric range
n03282060	embankment
n03282295	embassy
n03285912	enclosure
n03292475	epee
n03293863	equatorial
n03294604	erasable programmable read-only memory
n03296217	escape wheel
n03297735	establishment
n03300216	ethernet
n03306869	extension
